"IDRSSD"	RCFD0071	RCFD0081	RCFD1754	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1754	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	
14650																																							2772	1243	3684	14	0	90	283	100	2016	32118	27212	456	27668	0	548	0	0	4450	200	32118	0	0	3949	0	0	300	0	9146	18066			0	21969	21421	1	495	0	0	0	4450		
14753																																							8575	1196	6500	5253	0	0	107	0	706	43793	38781	112	38893	0	502	0	0	4900	300	43793	0	0	2402	0	977	1277	0	13895	24886			0	21053	20551	-56	905	0	0	0	4900		
14865																																							11119	12508	2852	27500	0	202	9240	1844	12274	401372	355890	2792	358682	0	4158	0	0	42690	730	401372	0	0	29750	0	0	12381	0	87806	268084			0	327991	323833	-171	0	0	0	0	42690		
14977																																							3278	677	0	1531	0	0	1686	0	2206	53859	41229	147	44516	0	569	3140	0	9343	0	53859	0	0	9399	0	0	0	0	7765	33464			0	44522	43953	-56	528	0	0	0	9343		
16551																																							2552	6494	22510	30971	638	4235	6584	367	7791	315225	276404	622	277026	0	3044	0	0	38199	175	315225	0	0	18108	0	0	19825	0	62680	213724			0	236127	233083	91	0	0	0	0	38199		
16748																																							7034	1135	12953	8247	0	260	2566	0	2842	81713	72097	654	72751	0	719	0	0	8962	400	81713	0	0	6064	0	0	2600	0	22748	49349			0	47395	46676	-102	0	0	0	0	8962	0	
17110																																							12744	2621	100	25660	0	0	2695	0	3218	130230	99818	5725	105543	0	279	0	0	24687	300	130230	0	0	17401	0	0	6986	0	0	99818			0	83471	83192	0	0	0	0	0	24687		
17147																																							62538	142501	476089	1147054	0	473409	92539	8859	355644	9773347	7690720	52172	8337174	0	78406	385458	0	1436173	10871	9773347	0	0	393752	2027	125	1064727	3022	1521758	6168962			0	7088071	7009665	-33302	0	0	90000	118824	1436173	0	
17259																																							5571	1105	575	11249	0	0	1666	51	2798	60771	48983	1755	55272	0	170	0	0	5499	769	60771	0	0	4126	0	0	769	0	10685	38298			0	37926	37756	-165	0	0	4534	0	5499		
17950																																							10942	6400	0	213096	0	3755	6335	218	8646	497820	449912	2108	452020	0	4226	0	0	45800	725	497820	0	0	26735	0	0	22737	341	85040	364872			0	252313	248087	-4397	0	0	0	0	45800		
17978																																							4374	3081	154848	0	0	0	6146	1925	6266	306108	187826	257	190429	0	1445	2346	0	115679	0	306108	0	0	115679	0	0	0	0	4703	183123			0	130913	129468	0	0	0	0	0	115679		
18050																																							14909	7584	19273	166563	0	0	10602	0	10777	560964	485555	4043	504599	0	4902	15001	0	56365	1214	560964	0	0	52945	0	0	7671	514	178923	306632			0	335644	330742	-5465	0	0	0	0	56365		
18135																																							84	5225	29466	114838	0	0	12394	0	7328	297954	251558	801	275173	0	1206	3000	0	22781	456	297954	0	0	19584	0	0	6056	477	97818	153739			0	90048	88842	-3315	39300	0	0	19814	22781		
18827																																							46320	22887	0	121641	1809	12108	30669	292	42184	1292403	1130275	7570	1157845	0	6817	20000	0	134558	528	1292403	0	0	38538	0	0	97791	0	342985	787290			0	1021310	1014493	-2299	0	0	0	0	134558		
18836																																							2806	2259	0	9381	0	0	3896	1425	6057	152503	130223	2002	135117	0	1292	2892	0	17386	180	152503	0	0	15610	0	0	1676	0	30567	99656			0	127971	126679	-80	0	0	0	0	17386		
18854																																							144684	12507	0	0	0	1035	7859	110	7119	750425	665177	3567	668744	0	7728	0	0	81681	40	750425	0	0	67443	0	0	14198	0	203989	461188			0	584839	577111	0	0	0	0	0	81681		
19356																																							49	2544	0	17908	0	814	1152	16	3713	91859	83175	232	83407	0	1146	0	0	8452	2025	91859	0	0	3704	0	0	3713	0	22788	60387			0	64820	63674	-990	1989	0	0	0	8452		
19936																																							61396	2353	21117	41296	0	0	4485	148	8929	309609	272055	1362	281202	0	3567	7785	0	28407	420	309609	0	0	15142	0	0	13580	0	55695	216360			0	173452	169885	-735	0	0	0	0	28407		
19972																																							18181	1313	25121	0	0	0	476	0	3707	93026	71901	1252	73153	0	397	0	0	19873	0	93026	0	0	19873	0	0	0	0	0	71901			0	44625	44228	0	0	0	0	0	19873		
20053																																							1395	640	0	10180	0	0	319	3	2619	99616	85784	359	86431	0	1249	288	0	13185	150	99616	0	0	7253	0	0	6053	0	20026	65758			0	84844	83595	-271	865	0	0	0	13185		
20633																																							7634	8888	0	59859	0	0	5956	11138	11539	294585	251781	2862	264047	0	3128	9404	0	30538	1106	294585	0	0	28556	0	0	2816	0	24761	227020			0	192447	189319	-1940	252	0	0	0	30538		
20857																																							725	4286	0	61808	0	142	1111	0	2908	139349	101983	199	124262	0	830	22080	0	15087	200	139349	0	0	1051	0	0	13800	0	19418	82565			0	69199	68369	36	0	0	0	0	15087		
21256																																							3238	187	0	2717	0	0	41	0	425	11101	9953	8	9961	0	78	0	0	1140	105	11101	0	0	613	0	0	495	0	2778	7175			0	4302	4224	-73	269	0	0	0	1140		
