"IDRSSD"	RCONF066	RCONF067	RCONF068	RCONF069	RCONF070	RCONF071	RCONF072	RCONF073	RCONF670	RCONF671	RCONF672	RCONF673	RCONF674	RCONF675	RCONF676	RCONF677	RCONF678	RCONF679	RCONF680	RCONF681	RIADF184	RIADF560	
	RETAIL ORGTNS CLSD-END 1-4 FAM:1ST L	RETAIL ORGTNS CLSD-END 1-4 FAM: JR L	WHSL ORG PRCH 1T4 FIRST	WHSL ORG PRCH 1T4 JR	CLSD-END 1-4 FAM RESDTL MTGS:FIRST L	CLSD-END 1-4 FAM RESIDTL MTGS:JR LIE	CLOSED-END 1-4 FAM RESDTL MTGS:FST L	CLOSED-END 1-4 FAM RESDTL MTG:JR LIE	RTL ORGTN QTR 1-4 RES MTG LN TOT CMI	RTL ORGTN QTR 1-4 RES MTG LN PRNPL A	WHOL ORGTN QTR 1-4 RES MTG LN TOT CM	WHOL ORGTN QTR 1-4 RES MTG LN PRNPL 	1-4 RES MTG LN HLD SALE QTR TOT CMTM	1-4 RES MTG LN HLD SALE QTR PRNPL AM	1-4 RES MTG LN HLD SALE TOT CMTM CR	1-4 RES MTG LN HLD SALE QTR PRNPL CR	RPRH INDMN 1-4 RES MTG CL 1ST LIEN	RPRH INDMN 1-4 RES MTG CL JR LIEN	RPRH INDMN 1-4 RES MTG TOT CMTM OL	RPRH INDMN 1-4 RES MTG PRNPL AMT OL	NONINT INC FOR QTR FROM SALE 1-4 MTG	NONINT INC FROM SALE OE 1 TO 4 RES M	
150035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
150044	22927	0	0	0	20252	0	2890	0	0	0	0	0	0	0	0	0	0	0	0	0	674	0	
150156																							
150334																							
150352																							
150727																							
150754																							
151331																							
151546																							
151555																							
151751																							
151957	0	0	10791	7	8935	7	2792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
152057																							
152253																							
152431																							
152440																							
152851																							
153054																							
153353																							
154154																							
154257																							
154770																							
155245	12444	0	0	0	9628	0	4044	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	
155517																							
155759																							
155777																							
156457																							
156635																							
156952																							
157155																							
157379																							
157650																							
157744																							
157856																							
157904																							
158554																							
158741																							
158750																							
158947																							
158974																							
159636	27903	0	0	0	23410	0	10900	0	0	0	0	0	0	0	0	0	0	0	0	0	555	0	
159645																							
159953																							
160360																							
160454																							
160557																							
160614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
160650																							
160959	19109	0	0	0	17148	0	5412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
161273																							
161433																							
161602	52710	0	0	0	51625	0	6894	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	
162337																							
163343																							
163370																							
163549	11853	0	0	0	9832	0	4238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
163857																							
164032																							
164153																							
164331																							
164377																							
164854																							
164957																							
164975																							
165039																							
