"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
656779																																							11912	1656	12418	230	353	3055	231	4372	149518	126775	322	127097	0	988	0	0	22421	0	149518	0	0	22226	0	0	0	0	3415	123360			0	111682	110694	195	0	0	0	0	22421		4597	
657178																																							10176	622	3856	0	0	1110	0	4684	119195	94502	2322	99824	0	846	3000	0	19371	0	119195	0	0	19119	0	0	0	0	1392	93110			0	80356	79510	252	0	0	0	0	19371		19237	
657271																																							62336	16327	90281	0	11860	62610	57	16181	2303157	1934658	19107	2046765	0	12264	93000	0	256392	0	2303157	0	0	256741	0	0	0	9966	249541	1685117			0	2040449	2028185	-349	0	0	0	0	256392	0	5354	
657365																																							35522	95329	639995	0	19594	66455	507	121169	5501610	4772129	25303	4837810	0	49386	40378	0	663800	14	5501610	0	0	90671	10594	0	570740	6029	1322638	3449491			0	4555802	4506416	2375	0	0	0	0	663800	0	0	
657459																																							17553	18807	340329	0	19634	24015	1035	109899	1965598	1493637	14766	1763442	0	15629	180000	0	202156	12886	1965598	0	0	88102	0	0	98956	6733	89170	1404467			0	1443213	1427584	2212	9	0	0	75039	202156		0	
657758																																							17608	1478	17460	0	1901	669	75	3245	110945	96998	483	97481	0	1407	0	0	13464	1300	110945	0	0	4784	0	0	7300	0	29941	67057			0	69916	68509	80	0	0	0	0	13464		0	
657954																																							458	1502	20348	135	130	2311	0	4759	130100	111576	669	118070	0	1273	5025	0	12030	400	130100	0	0	3869	0	0	7600	0	36857	74719			0	101635	100362	161	0	0	800	0	12030	95	0	
658072																																							32333	332	457	0	0	1465	0	1844	84304	77847	639	78486	0	341	0	0	5818	0	84304	0	0	5818	0	0	0	0	10997	66850			0	39584	39243	0	0	0	0	0	5818		8630	
658474																																							5129	187	0	0	0	348	0	1025	119926	86513	227	86740	0	745	0	0	33186	0	119926	0	0	33186	0	0	0	0	557	85956			0	84616	83871	0	1000	0	0	0	33186		28366	
658924																																							35865	5003	11620	0	0	1662	127	1180	135956	116123	654	116777	0	1280	0	0	19179	500	135956	0	0	18203	0	0	500	0	39404	76719			0	63554	62274	-24	1884	0	0	0	19179		16341	
659341																																							5149	5929	79628	0	216	11170	0	3202	352697	311418	942	312360	0	4259	0	0	40337	2660	352697	0	0	32498	0	0	4109	837	97905	213513			0	242701	238442	1070	8124	0	0	0	40337		0	
659453																																							467	4830	20633	0	90	1685	0	4591	132899	96237	1662	115899	0	1379	18000	0	17000	250	132899	0	0	11063	0	0	5450	0	20323	75914			0	85348	83969	237	0	0	0	0	17000		16634	
659556																																							514	4494	11556	0	189	3014	0	6587	181741	161517	402	164548	0	2133	1978	0	17193	500	181741	0	0	15668	0	0	1000	0	15457	146060			0	140451	138318	25	13087	0	0	651	17193		3982	
659640																																							490	3079	0	0	0	87	0	204	17716	15673	65	15738	0	40	0	0	1978	60	17716	0	0	18	0	0	1900	0	7939	7734			0	5235	5195	0	2000	0	0	0	1978	0	6661	
